provider,source,id,name,future_programmes,future_hours,desc_pct,url,reason
epgshare,AE1,en:.Red.Bull.TV.Live.ae,en: Red Bull TV Live,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Roya.TV.Live.ae,en: Roya TV Live,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Sama.Dubai.ae,en: Sama Dubai,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Sky.News.Arabia.-.Live.ae,en: Sky News Arabia - Live,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Star.FM.ae,en: Star FM,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STARZPLAY.Cricket.2.ae,en: STARZPLAY Cricket 2,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STARZPLAY.KLASSICZ.ae,en: STARZPLAY KLASSICZ,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STARZPLAY.Sports.ae,en: STARZPLAY Sports,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STC.tv.Cinema.ae,en: STC tv Cinema,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STC.tv.Drama.ae,en: STC tv Drama,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.STC.tv.Family.ae,en: STC tv Family,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Unbeaten.Sports.ae,en: Unbeaten Sports,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Wedo.Sports.MENA.ae,en: Wedo Sports MENA,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Yas.ae,en: Yas,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Zee.Aflam.-.Live.ae,en: Zee Aflam - Live,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,en:.Zee.Alwan.ae,en: Zee Alwan,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Essalam.TV.ae,Essalam TV,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Fox.Movies.ae,Fox Movies,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Hawa.Baghdad.ae,Hawa Baghdad,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,I24.News.Arabic.ae,I24 News Arabic,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Iraq.Edu.1.ae,Iraq Edu 1,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Iraq.Edu.2.ae,Iraq Edu 2,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Iraq.Edu.3.ae,Iraq Edu 3,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Iraq.Edu.4.ae,Iraq Edu 4,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
epgshare,AE1,Iraq.Edu.5.ae,Iraq Edu 5,0,0.0,0.0,https://epgshare01.online/epgshare01/epg_ripper_AE1.xml.gz,ZERO_FUTURE_EPG
