canonical,winner_provider,winner_source,winner_id,winner_name,future_programmes,future_hours,desc_pct,rank_score,alternatives_count,alternatives,decision
bein sports xtra2 digital mono en,epgshare,BEIN1,beIN_SPORTS_XTRA2_Digital_Mono_EN.bein,beIN_SPORTS_XTRA2_Digital_Mono_EN,31,33.7,0.0,71.2,0,,UNIQUE
2023 alkass 1 qa,openepg,qatar2,2023 Alkass 1.qa,2023 Alkass 1.qa,17,37.7,0.0,70.8,1,openepg:qatar3:2023 Alkass 1.qa:36.34,WINNER_OF_DUPLICATES
2023 alkass 2 qa,openepg,qatar2,2023 Alkass 2.qa,2023 Alkass 2.qa,17,37.7,0.0,70.8,1,openepg:qatar3:2023 Alkass 2.qa:37.67,WINNER_OF_DUPLICATES
2023 alkass 3 qa,openepg,qatar2,2023 Alkass 3.qa,2023 Alkass 3.qa,17,37.7,0.0,70.8,1,openepg:qatar3:2023 Alkass 3.qa:34.95,WINNER_OF_DUPLICATES
2023 alkass 4 qa,openepg,qatar2,2023 Alkass 4.qa,2023 Alkass 4.qa,17,37.7,0.0,70.8,0,,UNIQUE
bein sports xtra 06 bein com qa,openepg,qatar2,beIN SPORTS XTRA 06 bein.com.qa,beIN SPORTS XTRA 06 bein.com.qa,17,37.7,0.0,70.8,0,,UNIQUE
nba digital qa,openepg,qatar2,NBA DIGITAL.qa,NBA DIGITAL.qa,17,37.7,0.0,70.8,1,openepg:qatar3:NBA DIGITAL.qa:34.24,WINNER_OF_DUPLICATES
bein sports xtra 07 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_07_bein.com_AR.bein,beIN_SPORTS_XTRA_07_bein.com_AR,30,33.7,0.0,70.5,0,,UNIQUE
bein sports xtra 07 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_07_bein.com_EN.bein,beIN_SPORTS_XTRA_07_bein.com_EN,30,33.7,0.0,70.5,0,,UNIQUE
bein sports xtra 06 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_06_bein.com_AR.bein,beIN_SPORTS_XTRA_06_bein.com_AR,29,33.7,0.0,69.8,0,,UNIQUE
bein sports xtra 06 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_06_bein.com_EN.bein,beIN_SPORTS_XTRA_06_bein.com_EN,29,33.7,0.0,69.8,0,,UNIQUE
bein sports xtra 04 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_04_bein.com_AR.bein,beIN_SPORTS_XTRA_04_bein.com_AR,28,33.7,0.0,69.09,0,,UNIQUE
bein sports xtra 04 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_04_bein.com_EN.bein,beIN_SPORTS_XTRA_04_bein.com_EN,28,33.7,0.0,69.09,0,,UNIQUE
bein sports xtra 05 bein com ar,epgshare,BEIN1,beIN_SPORTS_XTRA_05_bein.com_AR.bein,beIN_SPORTS_XTRA_05_bein.com_AR,28,33.7,0.0,69.09,0,,UNIQUE
bein sports xtra 05 bein com en,epgshare,BEIN1,beIN_SPORTS_XTRA_05_bein.com_EN.bein,beIN_SPORTS_XTRA_05_bein.com_EN,28,33.7,0.0,69.09,0,,UNIQUE
bein sports6 digital d 1 qa,openepg,qatar2,beIN SPORTS6 DIGITAL -d-1.qa,beIN SPORTS6 DIGITAL -d-1.qa,19,35.2,0.0,68.82,0,,UNIQUE
